Mark Noble,4,0,1.5,0.3,0.3,1.000,0.3,0.3,1.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.8,0.0,0.3,0.3,0.5,0
Marquelle McIntyre,4,0,1.3,0.0,0.8,.000,0.0,0.8,.000,0.0,0.0,,0.3,0.5,.500,0.3,0.5,0.8,0.3,0.0,0.0,0.5,0.0,0.3,0
Carlitos Anderson,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0
Max Yon,25,17,28.2,4.5,9.7,.463,2.8,5.2,.543,1.7,4.5,.372,1.8,2.7,.647,0.3,2.0,2.4,2.2,0.5,0.2,2.0,1.4,12.4,0
Marek Olesinski,31,31,29.9,3.6,7.2,.505,2.2,3.5,.626,1.5,3.7,.391,1.3,1.8,.696,1.3,3.5,4.7,1.8,0.7,0.3,1.1,1.6,9.9,0
Kamryn Williams,11,11,28.2,3.5,7.1,.487,3.3,5.7,.571,0.2,1.4,.133,2.4,3.2,.743,2.3,3.7,6.0,2.7,1.5,0.8,2.3,2.6,9.5,0
Zach Kocur,30,15,23.0,3.0,6.0,.503,1.1,2.0,.559,1.9,4.0,.475,0.8,1.3,.625,0.6,1.7,2.3,2.1,0.4,0.1,1.2,2.3,8.7,0
Trevor Lyons,31,26,27.9,2.7,6.0,.452,1.9,4.2,.457,0.8,1.8,.439,1.7,2.5,.688,0.4,2.1,2.5,2.2,1.3,0.0,1.0,1.8,7.9,0
Hayden Graham,30,18,23.8,3.2,6.8,.468,2.8,4.7,.603,0.4,2.1,.172,1.0,1.5,.667,1.4,2.9,4.3,1.3,0.5,0.2,1.3,2.1,7.8,0
Matt Mooney,29,8,19.2,2.6,5.7,.448,1.6,3.1,.500,1.0,2.6,.387,0.8,1.0,.786,0.4,1.5,1.9,1.8,0.8,0.1,1.1,1.1,6.9,0
Justin Hammonds,25,22,21.0,2.3,4.2,.547,2.1,3.8,.564,0.2,0.5,.417,1.6,2.6,.609,0.9,2.8,3.7,2.0,0.8,0.2,1.7,3.0,6.4,0
Zach Moer,30,0,8.6,1.1,2.2,.508,0.9,1.8,.509,0.2,0.3,.500,0.4,0.5,.800,0.6,1.0,1.6,0.4,0.2,0.5,0.9,1.8,2.8,0
DeLovell Earls,19,4,11.7,0.8,1.9,.405,0.7,1.6,.467,0.1,0.4,.143,0.5,0.8,.625,0.5,1.3,1.8,1.6,0.5,0.1,0.8,2.2,2.2,0
C.J. Siples,18,1,6.9,0.6,1.0,.556,0.5,0.8,.600,0.1,0.2,.333,0.4,0.9,.471,0.1,0.6,0.6,0.6,0.3,0.2,0.5,0.8,1.6,0
Lake Lutes,4,0,2.5,0.5,1.0,.500,0.0,0.3,.000,0.5,0.8,.667,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.5,0
Ryan Manning,28,1,7.8,0.5,1.4,.325,0.3,0.6,.438,0.2,0.9,.250,0.3,0.4,.583,0.5,0.7,1.2,0.4,0.1,0.1,0.3,0.8,1.4,0
Jacob Van,7,0,2.9,0.3,0.7,.400,0.1,0.3,.500,0.1,0.4,.333,0.1,0.3,.500,0.1,0.4,0.6,0.3,0.1,0.0,0.1,0.0,0.9,0
Dezmond James,7,0,3.3,0.1,0.9,.167,0.1,0.4,.333,0.0,0.4,.000,0.3,0.3,1.000,0.0,0.9,0.9,0.1,0.1,0.0,0.3,0.1,0.6,0
Michael Lyons,30,30,31.6,6.4,13.5,.472,4.6,8.1,.570,1.7,5.4,.323,3.2,4.4,.722,1.3,2.6,3.9,2.3,1.0,0.1,1.9,2.0,17.7,0
Mike Fitzgerald,32,32,29.3,3.2,6.6,.479,2.0,3.5,.558,1.2,3.1,.388,2.4,2.9,.837,0.7,3.3,4.0,1.7,0.8,0.1,1.4,2.2,9.9,0
Todd Fletcher,32,32,32.0,3.5,7.4,.479,1.8,3.4,.519,1.8,4.0,.445,0.7,1.0,.677,0.3,2.7,2.9,3.7,1.1,0.0,1.2,1.9,9.5,0
Taylor Broekhuis,32,32,25.2,3.3,5.9,.569,2.9,4.6,.628,0.4,1.3,.350,1.2,2.0,.619,0.8,3.1,3.9,1.3,0.6,0.9,1.5,2.0,8.3,0
Kyle Green,32,12,17.0,1.6,4.4,.366,0.6,1.5,.383,1.1,3.0,.358,1.1,1.4,.818,0.4,1.2,1.6,1.6,0.6,0.0,1.2,1.4,5.4,0
Cam Michael,21,0,9.9,1.5,2.8,.534,0.6,0.9,.722,0.9,1.9,.450,0.3,0.4,.667,0.3,1.1,1.4,0.8,0.3,0.0,0.3,0.8,4.1,0
DeLovell Earls,32,22,14.2,1.5,3.6,.414,1.2,2.8,.422,0.3,0.8,.385,0.6,1.2,.526,1.1,1.9,3.1,1.5,0.5,0.1,1.3,1.7,3.9,0
Marek Olesinski,31,0,10.9,1.3,2.7,.476,0.5,1.1,.455,0.8,1.6,.490,0.1,0.1,.500,0.6,1.0,1.6,0.5,0.2,0.0,0.6,1.7,3.5,0
Kamryn Williams,30,0,11.5,1.2,2.5,.474,1.1,2.2,.478,0.1,0.3,.444,0.8,1.1,.706,0.6,1.8,2.4,0.9,0.5,0.3,0.7,1.3,3.3,0
Justin Hammonds,22,0,8.3,0.8,1.5,.545,0.8,1.3,.586,0.0,0.2,.250,1.1,1.6,.667,0.2,1.3,1.5,0.5,0.5,0.1,0.5,1.2,2.8,0
Max Yon,26,0,8.9,1.0,2.2,.439,0.7,1.4,.500,0.3,0.8,.333,0.5,0.5,1.000,0.2,0.9,1.1,0.6,0.2,0.0,0.6,0.6,2.7,0
Tre' Coggins,31,0,10.1,0.8,2.1,.375,0.4,0.9,.464,0.4,1.2,.306,0.5,0.6,.737,0.2,1.3,1.4,1.1,0.6,0.0,0.9,1.1,2.4,0
